Date,Counts
14/03/2017,50
6/05/2015,50
23/07/2015,50
28/10/2016,50
14/02/2014,50
12/02/2015,50
10/02/2014,50
26/02/2016,50
15/11/2017,50
5/12/2013,50
31/05/2016,50
24/04/2015,50
4/10/2014,50
19/10/2013,50
6/03/2015,50
20/03/2015,50
4/10/2013,49
11/03/2016,49
18/02/2016,49
18/04/2015,49
28/11/2013,49
13/10/2015,49
24/02/2016,49
23/06/2016,49
19/12/2013,49
27/02/2015,49
17/11/2016,49
21/11/2016,49
3/03/2015,49
4/03/2016,49
22/12/2015,49
20/01/2016,49
9/10/2014,49
27/11/2015,49
21/03/2016,49
29/04/2015,49
16/10/2013,49
16/09/2013,49
13/12/2013,48
15/06/2016,48
5/05/2017,48
10/02/2015,48
14/03/2014,48
11/04/2015,48
17/07/2015,48
27/08/2014,48
11/07/2014,48
2/04/2014,48
28/10/2014,48
26/02/2015,48
19/07/2013,48
14/05/2016,48
21/10/2014,48
16/05/2016,48
28/03/2018,48
16/11/2017,48
13/03/2014,48
18/11/2017,48
1/03/2017,48
9/01/2015,48
13/06/2014,48
4/06/2015,48
2/03/2017,48
1/02/2014,48
1/05/2015,48
14/05/2015,48
24/09/2014,47
18/05/2016,47
23/02/2017,47
2/02/2016,47
30/01/2014,47
11/02/2015,47
21/03/2015,47
6/06/2014,47
4/05/2017,47
8/04/2016,47
11/09/2015,47
11/02/2016,47
26/07/2014,47
3/12/2013,47
26/01/2014,47
29/09/2013,47
16/03/2017,47
17/06/2016,47
24/08/2016,47
8/05/2015,47
30/07/2016,47
23/01/2014,47
12/02/2016,47
12/04/2016,47
7/04/2016,47
8/01/2015,47
7/08/2013,47
5/05/2016,47
27/06/2014,47
2/11/2013,47
14/12/2015,47
6/03/2017,47
18/06/2015,47
5/09/2013,47
28/03/2015,47
14/05/2014,47
9/04/2015,47
9/04/2017,47
6/11/2013,47
17/08/2016,47
22/07/2014,46
26/06/2015,46
30/10/2015,46
13/12/2015,46
12/12/2014,46
22/01/2015,46
6/03/2016,46
20/12/2013,46
10/02/2017,46
30/11/2015,46
11/03/2015,46
28/03/2014,46
4/02/2016,46
16/04/2015,46
10/11/2014,46
15/12/2014,46
23/04/2016,46
7/03/2015,46
11/06/2014,46
29/07/2015,46
10/04/2014,46
11/04/2017,46
30/05/2014,46
19/06/2015,46
14/12/2013,46
2/03/2016,46
21/07/2015,46
20/04/2016,46
8/03/2018,46
12/01/2018,46
15/03/2015,46
