ACCIDENT_TIME,DAY_OF_WEEK,LGA_NAME,Time,Region
19:35:00,Saturday,KINGSTON,19,Metro
6:20:00,Sunday,GREATER DANDENONG,6,Metro
5:50:00,Sunday,KINGSTON,5,Metro
7:55:00,Sunday,PORT PHILLIP,7,Metro
10:15:00,Sunday,STONNINGTON,10,Metro
20:00:00,Saturday,MONASH,20,Metro
17:00:00,Monday,BOROONDARA,17,Metro
10:35:00,Sunday,WHITTLESEA,10,Metro
13:00:00,Sunday,BANYULE,13,Metro
12:45:00,Thursday,MARIBYRNONG,12,Metro
8:00:00,Sunday,EAST GIPPSLAND,8,Country
16:00:00,Sunday,BOROONDARA,16,Metro
15:28:00,Sunday,MURRINDINDI,15,Country
18:29:00,Sunday,DAREBIN,18,Metro
20:25:00,Sunday,KNOX,20,Metro
20:30:00,Sunday,HUME,20,Metro
16:10:00,Wednesday,GREATER GEELONG,16,Country
3:10:00,Sunday,MOONEE VALLEY,3,Metro
0:12:00,Monday,MELBOURNE,0,Metro
0:50:00,Sunday,HUME,0,Metro
7:00:00,Monday,BALLARAT,7,Country
7:22:00,Monday,MOYNE,7,Country
7:35:00,Monday,CORANGAMITE,7,Country
9:00:00,Monday,COLAC OTWAY,9,Country
9:15:00,Monday,MORELAND,9,Metro
7:40:00,Monday,MACEDON RANGES,7,Country
8:35:00,Monday,MACEDON RANGES,8,Country
9:12:00,Monday,BAW BAW,9,Country
9:20:00,Monday,WHITEHORSE,9,Metro
10:00:00,Monday,MORELAND,10,Metro
8:22:00,Monday,CASEY,8,Metro
7:05:00,Monday,GOLDEN PLAINS,7,Country
10:40:00,Monday,MAROONDAH,10,Metro
16:00:00,Sunday,MELBOURNE,16,Metro
10:05:00,Monday,MONASH,10,Metro
6:11:00,Monday,HOBSONS BAY,6,Metro
12:25:00,Monday,WHITTLESEA,12,Metro
13:20:00,Monday,BASS COAST,13,Country
13:20:00,Saturday,KNOX,13,Metro
15:00:00,Monday,MOONEE VALLEY,15,Metro
11:00:00,Monday,MOIRA,11,Country
16:30:00,Monday,KNOX,16,Metro
18:45:00,Monday,BOROONDARA,18,Metro
18:20:00,Monday,YARRA RANGES,18,Metro
17:30:00,Monday,MITCHELL,17,Country
16:50:00,Sunday,CASEY,16,Metro
20:15:00,Monday,GLEN EIRA,20,Metro
8:20:00,Monday,BALLARAT,8,Country
21:40:00,Wednesday,CASEY,21,Metro
5:00:00,Tuesday,KINGSTON,5,Metro
13:10:00,Monday,COLAC OTWAY,13,Country
8:12:00,Tuesday,KINGSTON,8,Metro
9:00:00,Tuesday,MOONEE VALLEY,9,Metro
6:50:00,Tuesday,MITCHELL,6,Country
10:30:00,Tuesday,MELBOURNE,10,Metro
8:50:00,Monday,CASEY,8,Metro
22:05:00,Monday,MELTON,22,Metro
11:30:00,Tuesday,KINGSTON,11,Metro
11:45:00,Tuesday,FRANKSTON,11,Metro
0:30:00,Saturday,WELLINGTON,0,Country
1:00:00,Thursday,EAST GIPPSLAND,1,Country
7:55:00,Tuesday,SOUTH GIPPSLAND,7,Country
10:00:00,Sunday,BRIMBANK,10,Metro
15:40:00,Monday,MELBOURNE,15,Metro
9:40:00,Tuesday,EAST GIPPSLAND,9,Country
18:50:00,Friday,WYNDHAM,18,Metro
13:15:00,Tuesday,GREATER DANDENONG,13,Metro
13:00:00,Tuesday,MAROONDAH,13,Metro
13:40:00,Wednesday,WHITTLESEA,13,Metro
16:00:00,Tuesday,MURRINDINDI,16,Country
15:24:00,Wednesday,MELBOURNE,15,Metro
16:10:00,Wednesday,MONASH,16,Metro
17:31:00,Wednesday,BALLARAT,17,Country
16:05:00,Wednesday,MONASH,16,Metro
9:25:00,Wednesday,WHITEHORSE,9,Metro
15:55:00,Wednesday,BALLARAT,15,Country
16:00:00,Wednesday,MONASH,16,Metro
17:40:00,Wednesday,BRIMBANK,17,Metro
11:20:00,Wednesday,CORANGAMITE,11,Country
13:15:00,Tuesday,DAREBIN,13,Metro
17:18:00,Wednesday,WEST WIMMERA,17,Country
7:24:00,Thursday,MELBOURNE,7,Metro
18:00:00,Wednesday,PORT PHILLIP,18,Metro
13:59:00,Friday,MORNINGTON PENINSULA,13,Metro
8:36:00,Friday,MOONEE VALLEY,8,Metro
8:40:00,Wednesday,COLAC OTWAY,8,Country
16:15:00,Tuesday,PORT PHILLIP,16,Metro
14:00:00,Friday,GREATER DANDENONG,14,Metro
15:45:00,Friday,GREATER GEELONG,15,Country
18:00:00,Friday,WELLINGTON,18,Country
18:24:00,Friday,KINGSTON,18,Metro
16:15:00,Friday,PORT PHILLIP,16,Metro
19:30:00,Friday,BAW BAW,19,Country
23:02:00,Friday,MANSFIELD,23,Country
10:45:00,Wednesday,YARRA RANGES,10,Metro
16:25:00,Wednesday,HUME,16,Metro
22:10:00,Wednesday,MAROONDAH,22,Metro
19:30:00,Wednesday,GREATER GEELONG,19,Country
23:56:00,Wednesday,STONNINGTON,23,Metro
23:55:00,Tuesday,CARDINIA,23,Metro
23:30:00,Wednesday,BRIMBANK,23,Metro
4:10:00,Thursday,LODDON,4,Country
14:36:00,Wednesday,YARRA,14,Metro
14:25:00,Wednesday,MONASH,14,Metro
7:20:00,Thursday,WYNDHAM,7,Metro
20:00:00,Wednesday,PORT PHILLIP,20,Metro
9:53:00,Thursday,DAREBIN,9,Metro
8:54:00,Thursday,MELBOURNE,8,Metro
7:20:00,Thursday,BALLARAT,7,Country
9:30:00,Thursday,MELTON,9,Metro
16:18:00,Wednesday,GREATER DANDENONG,16,Metro
10:48:00,Thursday,COLAC OTWAY,10,Country
6:45:00,Thursday,GREATER BENDIGO,6,Country
12:13:00,Thursday,MORELAND,12,Metro
10:40:00,Thursday,BALLARAT,10,Country
14:30:00,Thursday,WEST WIMMERA,14,Country
11:52:00,Thursday,MOONEE VALLEY,11,Metro
8:15:00,Tuesday,MARIBYRNONG,8,Metro
9:45:00,Thursday,LODDON,9,Country
18:00:00,Tuesday,MONASH,18,Metro
15:05:00,Thursday,WODONGA,15,Country
23:45:00,Thursday,GLEN EIRA,23,Metro
17:00:00,Monday,FRANKSTON,17,Metro
14:45:00,Thursday,GREATER GEELONG,14,Country
17:10:00,Thursday,MORNINGTON PENINSULA,17,Metro
18:00:00,Thursday,CASEY,18,Metro
18:12:00,Thursday,MOONEE VALLEY,18,Metro
11:20:00,Wednesday,MORELAND,11,Metro
20:27:00,Thursday,KNOX,20,Metro
19:00:00,Thursday,INDIGO,19,Country
12:55:00,Thursday,DAREBIN,12,Metro
3:35:00,Friday,CASEY,3,Metro
7:15:00,Friday,BALLARAT,7,Country
7:00:00,Thursday,BRIMBANK,7,Metro
10:25:00,Saturday,BRIMBANK,10,Metro
8:00:00,Friday,MORELAND,8,Metro
8:40:00,Friday,GREATER GEELONG,8,Country
7:20:00,Thursday,MELBOURNE,7,Metro
11:58:00,Friday,MELBOURNE,11,Metro
6:30:00,Wednesday,HEPBURN,6,Country
18:15:00,Thursday,BALLARAT,18,Country
10:13:00,Friday,BAW BAW,10,Country
9:15:00,Friday,KINGSTON,9,Metro
12:45:00,Friday,MARIBYRNONG,12,Metro
10:45:00,Friday,HORSHAM,10,Country
11:30:00,Friday,WHITEHORSE,11,Metro
16:15:00,Tuesday,STONNINGTON,16,Metro
21:30:00,Sunday,STONNINGTON,21,Metro
17:45:00,Tuesday,HORSHAM,17,Country
18:45:00,Tuesday,GREATER DANDENONG,18,Metro
